City,State,Status,GOLF2020Rank,GOLF2022Rank,GOLF2024Rank,GD2018Rank,GD2021Rank,GD2023Rank,GD2025PublicRank,Slope,Year,GD2025Rank,Course,GD2025ShotOptions,GD2025Character,GD2025Challenge,GD2025LayoutVariety,GD2025Fun,GD2025Aesthetics,GD2025Conditioning,GD2021ShotOptions,GD2021Challenge,GD2021LayoutVariety,GD2021Destinctiveness,GD2021Aesthetics,GD2021Conditioning,GD2021Character,GD2021Score,GD2023ShotOptions,GD2023Character,GD2023Challenge,GD2023LayoutVariety,GD2023Fun,GD2023Aesthetics,GD2023Conditioning,GD2023Score
Pine Valley,NJ,Private,1,1,1,1,1,1,NA,155,1918,1,Pine Valley Golf Club,8.9211,9.2456,8.9851,9.1403,8.2329,8.9159,8.701,8.9583,8.9302,9.157,9.2309,8.943,8.7555,9.2222,72.15539999999999,8.9134,9.2188,8.969,9.13,7.9747,8.8822,8.7193,79.8508
Augusta,GA,Private,6,7,6,2,2,2,NA,148,1933,2,Augusta National Golf Club,8.6611,9.3106,8.606,8.8297,8.7415,9.1302,9.0526,8.6896,8.6754,8.7851,9.2987,9.2293,9.0211,9.4352,71.824,8.5742,9.299,8.5767,8.8254,8.5797,9.0809,9.0027,79.3382
Pebble Beach,CA,Private,2,2,2,3,3,3,NA,140,NA,3,Cypress Point Club,8.5196,9.2494,7.9378,8.8547,8.6931,9.2926,8.2711,8.5151,7.9897,8.8685,9.2345,9.2949,8.3651,9.1863,69.9692,8.5504,9.2457,8.0346,8.9005,8.6732,9.3146,8.384,78.5539
Southampton,NY,Private,3,3,3,4,4,4,NA,140,1931,4,Shinnecock Hills Golf Club,8.6229,8.908,8.7204,8.6196,8.1767,8.5813,8.4799,8.6636,8.6858,8.6158,8.7484,8.6853,8.4891,8.9749,69.5265,8.535,8.8666,8.6749,8.6043,8.0862,8.5712,8.516,76.9935
Oakmont,PA,Private,5,5,5,5,5,5,NA,142,1903,5,Oakmont Country Club,8.5702,8.7851,8.9238,8.5468,7.8854,8.2718,8.7243,8.6083,8.8827,8.522,8.6333,8.2154,8.6991,8.8103,68.9794,8.577,8.7449,8.8831,8.5325,7.876,8.2781,8.6775,76.67859999999999
Ardmore,PA,Private,8,8,8,6,6,6,NA,151,1912,6,Merion Golf Club (East),8.4099,8.776,8.3519,8.5433,8.1127,8.2784,8.3474,8.4307,8.3721,8.5553,8.6046,8.271,8.1704,8.8459,67.6807,8.3637,8.8102,8.3524,8.5339,8.0675,8.2416,8.3055,75.5724
Southampton,NY,Private,4,4,4,8,7,7,NA,140,1911,7,National Golf Links of America,8.4142,8.8049,7.758,8.5679,8.5101,8.476,8.1811,8.3403,7.8054,8.6108,8.6637,8.5411,8.2669,8.8135,67.38199999999999,8.3796,8.8151,7.7923,8.5992,8.5074,8.5184,8.2148,75.8056
Mullen,NE,Private,7,6,7,9,10,8,NA,130,1994,8,Sand Hills Golf Club,8.3317,8.4479,7.8786,8.3317,8.2464,8.2909,8.1331,8.2699,7.9651,8.3443,8.5261,8.3763,8.2509,8.4184,66.4209,8.2899,8.432,7.8904,8.3626,8.2451,8.3434,8.1603,74.37620000000001
Pebble Beach,CA,Public,10,11,9,7,8,12,1,144,1919,9,Pebble Beach Golf Links,8.1043,8.5548,8.0674,8.2789,8.2235,8.8446,7.777,8.2572,8.1057,8.4007,8.9754,8.9601,7.7661,8.6352,67.3576,8.0259,8.4381,7.9263,8.1825,8.0069,8.7237,7.6528,73.1646
Fishers Island,NY,Private,9,9,11,11,9,9,NA,134,1926,10,Fishers Island Club,8.1691,8.638,7.6561,8.4134,8.3543,8.7208,7.7583,8.1587,7.7299,8.4242,8.7621,8.8176,7.7531,8.6691,66.4734,8.1516,8.6674,7.6838,8.4167,8.3687,8.7363,7.7718,74.36460000000001
Wheaton,IL,Private,14,13,12,14,13,13,NA,135,1894,11,Chicago Golf Club,8.2232,8.5503,7.9518,8.2797,8.0698,7.9782,8.264,8.152,7.8925,8.2561,8.2453,7.955,8.3481,8.6412,65.6422,8.1951,8.568,7.9347,8.2182,8.0234,7.9987,8.2899,73.6413
Juno Beach,FL,Private,20,21,17,13,11,10,NA,144,1929,12,Seminole Golf Club,8.1385,8.5152,8.1628,8.1039,7.9927,8.1646,8.2645,8.1433,8.1322,8.1596,8.316,8.1856,8.2886,8.7017,66.0703,8.1603,8.5524,8.173,8.1396,7.9137,8.1303,8.2169,73.58609999999999
Mamaroneck,NY,Private,15,16,18,10,12,11,NA,145,1923,13,Winged Foot Golf Club (West),8.1729,8.3953,8.457,8.0513,7.7718,7.8636,8.3092,8.2394,8.5426,8.0361,8.1095,7.9131,8.3517,8.6225,66.0543,8.1604,8.4463,8.4358,8.0421,7.8058,7.908,8.3049,73.30579999999999
Riverhead,NY,Private,13,15,15,19,16,15,NA,138,2002,14,Friar's Head Golf Club,8.1266,8.2638,7.8859,8.2302,8.1496,8.285,8.1252,8.017,7.9353,8.19,8.293,8.2853,8.0958,8.2003,65.0337,8.1185,8.2185,7.9295,8.2236,8.0372,8.249,8.1282,73.2466
Frankfor,MI,Private,16,20,13,12,14,14,NA,143,1931,15,Crystal Downs Country Club,8.1226,8.2977,8.0432,8.2625,7.9002,8.0221,7.9587,8.1402,8.1231,8.3147,8.3066,8.1215,8.1339,8.2712,65.5514,8.1312,8.2891,8.0413,8.2606,7.7869,8.123,8.0001,73.024
Los Angeles,CA,Private,12,10,10,23,19,16,NA,143,1927,16,Los Angeles Country Club (North),8.1016,8.2047,8.0767,8.2062,7.9028,7.9528,8.1141,8.0509,8.0776,8.1779,8.1256,7.9658,8.0692,8.2196,64.73750000000001,8.0264,8.1919,8.0298,8.1918,7.9036,7.973,8.1102,72.6449
Brookline,MA,Private,22,22,21,16,17,19,NA,NA,1895,17,The Country Club,8.0445,8.4805,8.1315,8.0991,7.8551,7.9853,7.9817,8.0524,8.0206,8.1116,8.1319,7.9524,7.9184,8.6314,64.87109999999998,7.9459,8.4948,7.0553,8.067,7.763,7.9166,7.9012,71.1567
Pacific Palisades,CA,Private,17,14,14,24,22,18,NA,144,1926,18,Riviera Country Club,8.1025,8.1444,8.0517,8.1608,7.9822,7.8564,8.0254,8.0904,8.0617,8.1434,8.1601,7.8116,7.9474,8.2028,64.5078,8.0362,8.1316,8.0468,8.1164,7.9912,7.7352,7.9506,72.16059999999999
Dublin,OH,Private,51,48,56,15,15,17,NA,155,1974,19,Muirfield Village Golf Club,8.0371,8.1127,8.2098,8.0153,7.5726,7.9387,8.1142,8.111,8.1814,8.0692,8.1382,8.0203,8.2201,8.2071,65.0583,8.0266,8.1353,8.2096,8.0149,7.5987,7.9715,8.1618,72.1599
Bloomfield Hills,MI,Private,35,19,20,17,21,20,NA,145,1917,20,Oakland Hills Country Club (South),8.0172,8.121,8.2871,7.9745,7.5223,7.7938,8.1734000000000009,8.077,8.2837,7.9689,8.004,7.8274,8.1134,8.274,64.62539999999998,7.9552,8.0683,8.2584,7.9207,7.528,7.7899,8.1053,71.5017
Rochester,NY,Private,40,37,36,20,20,22,NA,143,1925,21,Oak Hill Country Club (East),7.9705,8.0748,8.3351,7.9745,7.5309,7.7822,8.1686,8.0879,8.3414,7.9813,7.9849,7.8648,8.0536,8.255,64.6568,7.9644,8.1376,8.2955,7.9439,7.5253,7.8014,8.1314,71.7078
Atlanta,GA,Private,37,36,33,33,30,25,NA,142,1947,22,Peachtree Golf Club,7.933,8.2192,7.809,7.8744,7.9302,8.0757,8.2126,7.8483,7.8328,7.7992,7.9451,7.9618,8.2201,8.3059,63.761500000000005,7.8675,8.2212,7.7532,7.854,7.909,8.0614,8.1976,71.58539999999999
